"","logFC","logCPM","PValue","FDR"
"YOR096W",1.64079879965557,9.90965234373626,0.000902226415203569,0.012501938443033
"YHR089C",1.91297448110669,7.7851767083055,0.000915199138490916,0.0126386514542174
"YEL054C",1.77151745564237,9.5533035084936,0.000930888533697214,0.0127636790027146
"YOR078W",1.17848749417389,5.51766837967854,0.000934558874400785,0.0127804595808107
"YJR070C",1.59397909279597,7.19573662027759,0.000969602802116398,0.0131421314010896
"YNL069C",1.66258782220562,10.403924763886,0.000971068667844676,0.0131421314010896
"YCL037C",2.21147942701884,4.25101908608042,0.00101208082739682,0.0135566929290281
"YNL111C",1.08943166524071,6.43066484770508,0.00101805820395246,0.0135851251801781
"YGL123W",1.7081408443856,11.4576906328738,0.00104995335642393,0.0139461102596525
"YPL131W",1.60232125426894,11.5329726588092,0.00110568934068725,0.014623091432279
"YLR029C",1.48011686344925,11.2587878903123,0.00110850129411406,0.0146232594960906
"YGL171W",1.08883592025608,5.39871963063003,0.00113233456029116,0.0148626023692489
"YDL201W",1.03606694187137,5.82490030894158,0.0012281142600617,0.0160793706630634
"YHR094C",1.31184506951269,4.74852689776583,0.00126925973368554,0.0165351941365917
"YDR382W",1.55042917088944,10.3898717412133,0.0012770057989804,0.0165947221240638
"YCR016W",1.06556351450905,5.60590390262573,0.0013104992136743,0.0169024189193878
"YBL054W",1.72647999689226,5.0334506693117,0.00135396274172094,0.0173360327518387
"YOR349W",1.34403775554776,5.22043471643072,0.00136003323392897,0.0173711824304277
"YDR045C",1.53416280086844,4.2243948599474,0.00136664306549056,0.0174130326198115
"YBR031W",1.45334554749365,11.3035955040468,0.00141060459728811,0.0177566226897183
"YLR048W",1.59789201539393,9.9686063447255,0.00142155096593312,0.0178513996298909
"YKR075C",1.21405000754203,8.22386003950714,0.00142831170114385,0.0178932861553369
"YLL045C",1.73769994464677,10.8329663503915,0.00143604181739,0.0179470152687081
"YIL096C",1.41567907143489,4.75511792434587,0.00143947155390289,0.0179470152687081
"YDR064W",1.58706107557041,10.289627257763,0.00146022494444285,0.0181192757951769
"YHR141C",1.48168481459909,9.48681223597318,0.00146385311853142,0.0181212528227681
"YML063W",1.55834496910551,11.0431197166993,0.00148670697194724,0.0182742522857703
"YPL143W",1.58675212357779,9.67655649215574,0.00151529016033517,0.0185818680694623
"YMR121C",1.0532847682856,7.62420082218365,0.00152589006829402,0.0186244152260933
"YLL011W",1.52905881768592,4.76560361621738,0.00157831589592395,0.0191747028844342
"YNL113W",1.23243232200055,5.19560738630861,0.00160869433963686,0.0194642714810627
"YLR249W",1.51661157709916,11.9519383042583,0.0016096028483574,0.0194642714810627
"YDL083C",1.58893597224062,9.76894001606615,0.00163609907288422,0.0197389874289773
"YGR251W",1.54643126230864,4.31964645206352,0.00168299236884637,0.0201188836037836
"YPR132W",1.36382836966407,9.93173190493065,0.00173902330777523,0.0206247095603661
"YFR031C-A",1.67053099555037,10.7864813273035,0.00185127135798142,0.0216354397630759
"YLR325C",1.52143920690481,8.9558263280338,0.00188017926736395,0.0218754042153882
"YMR242C",1.60580857971956,9.83311174605209,0.00192223522989128,0.0223150152021157
"YHR021C",1.4629065133231,8.9683444156727,0.00193528032974412,0.022369581444783
"YIL052C",1.50295645297756,9.20916160733305,0.00196152895081641,0.022561738104604
"YMR142C",1.55717889258004,10.1613952199589,0.0019650824727402,0.022561738104604
"YGL209W",1.06802896829607,5.5774275516397,0.00196997816268933,0.0225683463199321
"YBR034C",1.19368108952778,4.98990746809181,0.00198312672681863,0.022625912476661
"YDL227C",1.64090415660608,5.21066574459041,0.00198799652120739,0.022625912476661
"YPR102C",1.57172684730534,9.80078571708559,0.00210469731153682,0.0237985687347799
"YGR162W",1.24291380837337,8.67683790607998,0.0021358532813386,0.0240986987941962
"YOL121C",1.61927815705079,8.89571851140537,0.0021776690849733,0.0244617802237988
"YCR087C-A",1.19493746179594,5.17146682222091,0.00218208070143381,0.0244617802237988
"YKL216W",1.13487364004731,6.86152032825098,0.0021959184360653,0.0245641925267776
"YOR361C",1.11662385145273,8.60330073729186,0.00225152718979034,0.0250254851903504
"YHL001W",1.58521233018773,8.40379249268653,0.00226391822843635,0.0251097851918291
"YFR032C-A",1.32261573447691,8.72405978601078,0.00231474111767322,0.0255826144806645
"YDR471W",1.48916791878617,8.77962425593755,0.00231634315646139,0.0255826144806645
"YGR280C",1.39527671722423,6.08210008939594,0.00239285362854948,0.0262060112275524
"YHR203C",1.60281154700841,10.5498006119466,0.00239915011707159,0.0262200004426401
"YMR319C",1.03713993876453,5.64062404725685,0.00244141523256235,0.0264604837653645
"YOL120C",1.52920169872768,10.5240101914641,0.00251211725452942,0.0270026760034191
"YPR110C",1.38468276592119,7.48874653488414,0.00254409663284952,0.0272287266198425
"YPL090C",1.66877962762243,10.6885149960204,0.00256196263754061,0.0273136588132901
"YIL018W",1.61242831450072,11.1519206235365,0.00258826519287714,0.0275103726753256
"YKL180W",1.49536478413827,10.0104733778479,0.00259094627799774,0.0275103726753256
"YNL029C",1.06618311614501,5.34771470458577,0.00262358080117381,0.0276880527380444
"YPR043W",1.39229674050541,9.99735636228878,0.00266746396774763,0.028060856100114
"YBR048W",1.49952646571387,9.66992414307691,0.00268729060284505,0.028060856100114
"YJR094W-A",1.547092915841,8.80440445618316,0.00269113493609439,0.028060856100114
"YDR449C",1.7242807783244,5.0236958353572,0.00277113789018893,0.0287468619620903
"YDR339C",1.30438281129915,5.15928273433664,0.00277343384932877,0.0287468619620903
"YGR103W",1.15123282252053,7.81227970099498,0.00281118786404408,0.0290230146279966
