conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YCR107W	1	0	0	4
YCR108C	0	0	0	0
YDL248W	92	93	50	79
YDL247W	13	11	14	10
YDL246C	13	7	8	10
YDL245C	26	14	11	15
YDL244W	4	2	2	0
YDL243C	22	17	12	20
YDL242W	2	2	3	2
YDL241W	2	9	6	12
YDL240W	22	14	26	19
YDL239C	41	20	23	34
YDL238C	63	40	31	33
YDL237W	109	92	50	70
YDL236W	99	109	92	170
YDL235C	39	46	36	54
YDL234C	178	185	96	111
YDL233W	49	47	25	38
YDL232W	23	15	9	13
YDL231C	101	52	59	89
YDL230W	47	44	23	27
YDL229W	541	1356	2154	3563
YDL227C	6	20	29	50
YDL226C	87	95	90	149
YDL225W	82	88	69	97
YDL224C	99	91	72	99
YDL223C	91	46	40	42
YDL222C	124	73	26	12
YDL220C	20	22	13	17
YDL219W	15	20	11	20
YDL218W	3	0	5	6
YDL217C	46	30	22	24
YDL216C	35	18	17	30
YDL215C	224	286	203	240
YDL214C	49	13	25	22
YDL213C	42	70	82	122
YDL212W	89	92	76	124
YDL211C	10	2	3	8
YNCD0001W	0	0	0	0
YDL210W	9	7	4	5
YDL209C	6	6	5	14
YDL208W	33	56	96	154
YDL207W	73	70	65	73
YDL206W	51	34	39	46
YDL205C	80	102	59	97
YDL204W	401	323	89	102
YDL203C	31	32	36	51
YDL202W	55	54	18	42
YDL201W	27	29	39	71
YDL200C	16	20	17	19
YDL199C	69	48	40	31
YDL198C	56	301	32	52
YDL197C	78	45	35	65
YDL195W	476	427	345	497
YDL194W	96	65	47	57
YDL193W	71	60	36	57
YDL192W	186	266	255	357
YDL191W	156	349	542	787
YDL190C	161	144	94	124
YDL189W	41	54	46	62
YDL188C	119	118	87	124
YDL186W	5	3	4	8
YDL185W	807	792	575	774
YDL184C	59	137	204	235
YDL183C	41	20	9	27
YDL182W	286	579	75	109
YDL181W	122	115	81	95
YDL180W	36	40	27	52
YDL179W	31	42	20	29
YDL178W	115	150	127	199
YDL177C	4	4	4	8
YDL176W	51	15	18	34
YDL175C	32	31	27	44
YDL174C	637	717	483	733
YDL173W	82	134	87	134
YDL171C	546	285	288	424
YDL170W	70	32	28	34
YDL169C	51	39	7	14
YDL168W	93	106	72	94
YDL167C	10	10	15	40
