"","logFC","logCPM","PValue","FDR"
"YIL019W",1.49177531460081,5.27500176405333,0.000124619851545868,0.00300006499758348
"YHR104W",-1.31024781847506,8.26495580619464,0.000125313145341308,0.00300291684065593
"YMR090W",-1.42195504395522,7.13623771757272,0.000126423655713578,0.00301569487419056
"YHR052W",1.58187997084059,5.46779151795151,0.000131028362023306,0.00311132801458978
"YPR127W",-1.27434336834431,5.98978280043132,0.000132521842377219,0.0031207458164681
"YGR173W",1.61637679277927,5.94732513378104,0.000132619749474716,0.0031207458164681
"YKL099C",1.45615442725115,5.06424576171793,0.00014045606061675,0.0032903249357036
"YBL024W",1.48823488810541,6.68121844354506,0.00014814902977658,0.00345504701586096
"YKL151C",-1.29790364052449,8.30345394258764,0.000151483425136503,0.00351342594132448
"YBR084W",1.5326057050784,8.25759537993367,0.000151997370355921,0.00351342594132448
"YIL117C",1.19598362049938,6.07658846931487,0.000152816291369999,0.00351679430007433
"YMR239C",1.76367588857723,4.71835334510624,0.000155959025642483,0.00357337697349268
"YKL078W",2.11184483418374,4.15912327965331,0.000157073404762444,0.00358319417676421
"YJL191W",1.3298872253192,7.63134941171199,0.000158084519852807,0.00359058057265681
"YLR388W",1.46069190637938,7.74449806707068,0.000161432900634494,0.0036507596230069
"YOL082W",-1.24188496002793,7.11011874287497,0.00016364451663304,0.00368482308142673
"YIL110W",1.46781153362619,5.34379492764504,0.000165399395766008,0.0037083538346851
"YGL246C",1.35410912573026,5.46752482690689,0.000166894326617485,0.00372588018055444
"YBR115C",-1.64298379165374,8.55760168109121,0.000176549818413311,0.00392466489953674
"YPR010C",1.60063005085644,8.09404504592769,0.000179416134635599,0.00397148257345919
"YKL181W",1.17733326372079,7.99332232082709,0.000180319547883314,0.00397463847317482
"YIR037W",-1.00155465386767,7.10126121714837,0.000186630421387361,0.00409645933330913
"YNL301C",1.34023480315212,7.22562570672934,0.000188055742901499,0.00411047364400599
"YDR412W",1.2499343926232,5.43171825556587,0.000190131691341743,0.00413853314820526
"YEL055C",0.970473131010409,7.13441932633043,0.000191149664629036,0.00414342675527835
"YNL141W",1.4107688436649,5.26530132675754,0.000198745594923535,0.00428058023239549
"YOR095C",1.81778472133753,5.33058496446357,0.000199115810963266,0.00428058023239549
"YMR229C",1.55539258961682,7.57028334378581,0.000202301640810434,0.00433124496554797
"YPL123C",-1.05572510945012,6.63699896281051,0.000204668743286762,0.00436403883644916
"YIR012W",1.42087874429376,6.92709965775565,0.000207466525320458,0.00440571190355314
"YER126C",1.1412126561581,5.76605720490398,0.000208569077564037,0.00441119377001834
"YPL198W",1.5721560575745,8.9790528559415,0.000216909156032258,0.00456908641577628
"YOR207C",0.968024031516564,7.05221616616599,0.000217876295244967,0.00457102717413536
"YLR299W",-1.0452693627853,7.44170303881761,0.000221232278120639,0.00462286968360887
"YAL019W",0.992705229544041,6.51931368350946,0.000226220823153284,0.00470827721176396
"YCL049C",-1.09268674503408,6.08087777791296,0.000228461192998941,0.00472978921650395
"YFR017C",-1.08047763184709,7.80524412662277,0.000229065212820731,0.00472978921650395
"YNL119W",1.68272186515995,4.80313637609975,0.00023123429423267,0.00473679367783546
"YDR091C",1.08023196816712,7.46104057597585,0.000231946471566288,0.00473679367783546
"YNL239W",-1.32683970613229,7.66441892255371,0.000232681936470664,0.00473679367783546
"YLR449W",1.42432253129278,7.23243202632381,0.000233243599550839,0.00473679367783546
"YBR079C",1.48398735105476,8.67925354738365,0.000233938125743022,0.00473679367783546
"YIL136W",-1.49557015252547,9.62933060574861,0.000239739691421409,0.0048355218068936
"YIR026C",1.24972524258906,5.91619566876994,0.000243816051064562,0.00489882711831259
"YER004W",-1.07455158819534,6.99049897562385,0.000267804979560454,0.00536020388208357
"YJR109C",-2.95915319909795,8.09090932884086,0.000269507881589467,0.00537369913520372
"YJL122W",1.96263665396881,4.18630752852197,0.000276631529262961,0.00548476366410435
"YER091C",-2.12981550200644,9.61765520833528,0.000277495181838135,0.00548476366410435
"YOL124C",2.01706137229004,4.99290558956046,0.000278227865809275,0.00548476366410435
"YDR144C",1.3837550934987,5.29569131705547,0.000283602103150648,0.00556968942428189
"YPR184W",-1.57132259315242,9.94680911042539,0.000285038717311311,0.00557693730050295
"YBL015W",-1.40076409638995,8.96493713413537,0.000286959436833738,0.0055935675299233
"YLR448W",1.72633997670636,9.07539541217651,0.000298489803326908,0.00579669417315898
"YMR107W",-2.39890072561424,3.99113520987469,0.000301749714890509,0.00582142041605855
"YGL135W",1.67254844505465,10.4954293828921,0.000301991755886651,0.00582142041605855
"YMR195W",1.18676464733531,5.8814174359713,0.000313316686996446,0.00601752342966703
"YKL087C",-1.08908477685106,6.49211105794502,0.000323442696403853,0.00618924778759607
"YBR187W",0.978401626834054,6.88504689065033,0.000324727997007204,0.00619116443929063
"YMR131C",1.47569874173428,7.32733232886307,0.00032640731000496,0.0062005519544215
"YJL163C",-1.10958148595491,6.1776352779859,0.000329861195327119,0.00624345972604663
"YBL064C",-1.23551377962085,8.11688168061577,0.00033433625939142,0.00630531631429884
"YOL041C",1.67156586808236,6.12516540236474,0.000339653486897246,0.00636480148930956
"YLR435W",2.1042257425857,4.2943157029067,0.000339927185206234,0.00636480148930956
"YDR500C",1.53161863361281,9.39005728423116,0.00034358310585939,0.00641027908931949
"YDL051W",1.45701368896169,6.72792517579022,0.00036180582048769,0.00672624059155763
"YKL192C",-0.990939650698381,7.06773451976753,0.000367518638777138,0.00679407407423047
"YOL126C",-1.00248838931576,7.12619546022297,0.000368055697359729,0.00679407407423047
"YHL011C",1.20065885977298,7.02484827948823,0.000370167292942887,0.00680899274061141
