"","logFC","logCPM","PValue","FDR"
"YNR034W-A",-1.84032070179368,8.2808271446735,6.12052944487626e-07,4.37995148219638e-05
"YNL134C",-1.39483394061083,7.15782848426118,8.08996193373112e-07,5.48856638205343e-05
"YPL186C",-1.34538047313087,7.28732794969463,1.21468772094648e-06,7.46532782849928e-05
"YLR356W",-1.6485219089892,5.79240389478379,1.46293575320323e-06,8.78434066061342e-05
"YPL171C",-2.55248545601175,5.55744695606779,1.58144454375887e-06,9.38802988249586e-05
"YJR096W",-1.64918201786338,7.68089096919064,1.60323974494318e-06,9.4104768849249e-05
"YMR169C",-1.56300152571488,7.06709230442584,1.63639265044425e-06,9.49835022880087e-05
"YML042W",-1.57544554197654,6.34031545216875,1.92005596057296e-06,0.000108684709816472
"YLR080W",-1.67782140448359,5.46062190974427,1.98912194118176e-06,0.000110248776369584
"YMR173W",-1.83407212247735,8.94498152183011,2.48926701349863e-06,0.000131352837156736
"YHR138C",-1.53221598152182,6.04248136799564,3.29202140994032e-06,0.000168603135740473
"YOR185C",-1.43286415709363,6.9351607026351,3.55625263280166e-06,0.000176932035750056
"YER069W",-1.3914262795872,7.63876584724259,3.67082418023724e-06,0.000179218556238872
"YOR173W",-1.68935534991682,8.67407021502107,4.51915891334227e-06,0.000214618965120909
"YBR285W",-1.95123885090066,5.03621247649359,4.75519190574777e-06,0.000218745256450425
"YAL008W",-1.31121274907843,6.2103472073446,4.77353737276962e-06,0.000218745256450425
"YIL088C",-1.23383377978955,7.31204766221498,4.97386442268908e-06,0.000223995411587308
"YOR289W",-1.43343489148339,6.21981439860764,5.42773150709165e-06,0.00023827285204241
"YPR030W",-1.62079334062975,7.71035009833916,5.74299034973783e-06,0.000250011513225254
"YDL182W",-2.17335354300685,8.42489897826804,5.8617803947193e-06,0.000253073890760443
"YNR050C",-2.28948843218941,9.3042340100877,7.9814927264797e-06,0.000328309590575826
"YJL137C",-1.52405007027002,5.72284388982254,1.11086497138714e-05,0.000439633228070184
"YJL052W",-1.85843784722467,10.1060359461746,1.5961206835725e-05,0.000587192566970617
"YNL274C",-1.81451138195561,8.45196202552068,1.63403509628444e-05,0.000596937016992301
"YFL030W",-1.53958178473629,6.51025756520451,1.92841295297248e-05,0.000699585365717239
"YDR059C",-1.5558786385507,5.21940808117312,1.97805069565898e-05,0.000712643919594655
"YDL222C",-2.18906890970723,6.30227259400814,2.11150703627107e-05,0.000745304916045952
"YCL033C",-1.36972563482765,5.53627672519994,2.41164477159649e-05,0.000839895485788006
"YKL103C",-1.55855310489334,8.63781877474643,3.01846128733654e-05,0.00101079754904142
"YLR303W",-4.44822027451529,8.45333791096261,3.12524838643213e-05,0.00102039359817009
"YHL016C",-1.60792314307858,5.11057963324153,3.21193256916216e-05,0.00104218234418032
"YOR215C",-1.09856841102484,6.78807810802757,3.28182031561222e-05,0.00105828576103446
"YDR031W",-1.63531162641987,5.06169135112625,3.46555740329372e-05,0.00110390682163454
"YBR089C-A",-1.23250464200158,5.89116721689951,4.67133743286109e-05,0.00143043247252445
"YML128C",-1.67574690898962,9.47341801801737,4.83911281489429e-05,0.0014476053197433
"YER042W",-3.44361143269554,5.85346454535573,4.84936697846626e-05,0.0014476053197433
"YER142C",-1.26369920608645,5.94311763848167,5.24587912610432e-05,0.00153957710981848
"YGR209C",-1.17983605857917,7.55048077932078,5.60768540377381e-05,0.00161848334526599
"YJL066C",-1.26516843344403,6.48118002069664,6.13713003984968e-05,0.00175193264088387
"YER119C",-1.30210848046199,6.81251340213566,6.48244524755185e-05,0.00182066096630166
"YER150W",-1.08876924056836,7.13103194361705,6.7541031042385e-05,0.00188681468537657
"YLR180W",-1.60474492751479,7.66687883489256,7.77157684413533e-05,0.00211451653300849
"YDR533C",-1.25249600287038,5.98924757383463,8.99889553537625e-05,0.00237757830630286
"YNL142W",-3.27333686169614,7.46821360214811,9.01149511194424e-05,0.00237757830630286
"YPR160W",-1.60712707451733,10.8687645061287,9.51844144468553e-05,0.00244947478359789
"YHR018C",-3.03619477379953,7.86640811930922,0.000104185544407295,0.0026041401147546
"YJR073C",-1.34126544040804,8.44874497163898,0.000106391158370757,0.00263582579933659
"YGR121C",-1.12245731485609,7.62251939559724,0.000110659080149249,0.00272680676745131
"YGL208W",-1.53892193861109,5.68973227816326,0.000111955728669594,0.00274580622802798
"YNL115C",-1.08346850473606,7.24029492564803,0.000119703078140755,0.00290850641956885
"YHR104W",-1.31024781847506,8.26495580619464,0.000125313145341308,0.00300291684065593
"YMR090W",-1.42195504395522,7.13623771757272,0.000126423655713578,0.00301569487419056
"YPR127W",-1.27434336834431,5.98978280043132,0.000132521842377219,0.0031207458164681
"YKL151C",-1.29790364052449,8.30345394258764,0.000151483425136503,0.00351342594132448
"YOL082W",-1.24188496002793,7.11011874287497,0.00016364451663304,0.00368482308142673
"YBR115C",-1.64298379165374,8.55760168109121,0.000176549818413311,0.00392466489953674
"YIR037W",-1.00155465386767,7.10126121714837,0.000186630421387361,0.00409645933330913
